Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11
attentive,pillow,kind,charming,staccato,consistent,excitement,climactic,musical,not feeling,familiar,entertained
discreet,leader,stimulative,exciting,radio,success,excitable,intense,artistic,not distressing,easy,working
safe,spa,quiet,childly,rhythmical,continue,elate,important,creative,be_well,leisurely,present
satisfied,obstructive,mild,cute,buzz,determination,energetic,oceanic,,not anxious,friendly,active_voice
vigilant,patient,soothing,sweet,receiving,hardy,unangry,profound,,not urgent,good,alive
happy,substitute,unaggressive,interesting,electric,constant,euphoric,urgent,,,comfortable,standing
assured,directive,cool,funny,flying,affirmative,,,,,pleasant,active
confident,subordinate,benign,playground,,stable,,,,,clean,
,massage,calm,playful,,,,,,,,
,,unalarming,,,,,,,,,
,,tender,,,,,,,,,
,,hotness,,,,,,,,,
