Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13
lottery,oceanic,subordinate,important,quiet,success,active_voice,alive,not anxious,musical,constant,pleasant,playground,pillow
horse,beach,radio,profound,discreet,determination,unangry,safe,be_well,creative,continue,easy,playful,tender
bore,spa,communicational,climactic,vigilant,cool,impatient,happy,not urgent,artistic,stable,good,sweet,soothing
machine,flying,neutral,urgent,attentive,standing,active,assured,not sticky,,ongoing,comfortable,interesting,benign
elate,massage,directive,startling,unaggressive,hotness,excitable,entertained,not feeling,,steady,clean,childly,mild
electric,passenger,receiving,surprised,calm,hardy,energetic,confident,not distressing,,consistent,friendly,charming,patient
buzz,,affirmative,sudden,,clock,,satisfied,,,,familiar,cute,stimulative
rhythmical,,substitute,abrupt,,working,,,,,,leisurely,silly,kind
staccato,,present,unalarming,,,,,,,,,funny,obstructive
euphoric,,notification,mysterious,,,,,,,,,exciting,billowy
excitement,,leader,,,,,,,,,,,
