Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14
irritating,bomb,resistant,lying,fracture,impossible,billowy,clangorous,evil,distrust,forceful,numb,dagger,unsettled,passive
crazy,warning,frictional,sticky,obstruction,deficient,creaking,unobvious,sinister,annoyance,restriction,sore,distressed,insecure,limited
shooting,atomic,barrier,dirty,malignant,erase,uneven,agitative,ominous,startling,intrusive,aching,hooded,indifferent,small
tedious,bee,lineal,hairy,injectable,delay,prickly,shivery,mysterious,sudden,restrictive,,,panicky,concerned
silly,siren,rugged,nasty,,faulty,breakable,assailable,alien,uncomfortable,dominant,,,impatient,not communication
forget,alarm,resistive,shady,,unsuccessful,unstable,illusional,,abrupt,aggressive,,,wary,not velvety
worried,flying,,fat,,disappear,erratic,,,stifle,oppressive,,,neurotic,complex
boring,,,slimy,,lagging,fragile,,,unpleasant,,,,jittery,dark
bad,,,sloppy,,urgent,muddy,,,painful,,,,frantic,low
afraid,,,,,difficult,unpredictable,,,alarming,,,,nervous,not vigorous
annoying,,,,,unfamiliar,,,,uneasy,,,,anxious,intense
surprised,,,,,imperative,,,,cringe,,,,,not electric
offensive,,,,,risky,,,,,,,,,quiet
weird,,,,,deaf,,,,,,,,,
wrong,,,,,skip,,,,,,,,,
,,,,,gross,,,,,,,,,
,,,,,stumble,,,,,,,,,
,,,,,pertinent,,,,,,,,,
,,,,,dangerous,,,,,,,,,
